video_id,group,is_viral_proxy,acct_uploader_len,acct_uploader_digits_ratio,acct_creator_verified,acct_creator_follower_log,acct_creator_posts_log,txt_title_len_chars,txt_title_len_words,txt_title_has_question,txt_title_has_exclaim,txt_title_has_hashtag,txt_title_has_mention,txt_title_has_url,len_duration_s,len_bucket
7530978492717190455,top,1,0,0.0,0,,,72,13,0,0,0,0,0,75,very_long
7531096947776671006,top,1,0,0.0,0,,,72,11,0,0,0,0,0,7,short
7532257687514451213,normal,0,0,0.0,0,,,17,5,0,0,0,0,0,17,mid
7532465100771413270,top,1,0,0.0,0,,,43,5,0,0,1,0,0,31,long
7532593973144210743,top,1,0,0.0,0,,,72,13,0,0,0,0,0,42,long
7533276670954884407,normal,0,0,0.0,0,,,62,8,0,0,0,0,0,21,mid
7533277722089442590,normal,0,0,0.0,0,,,57,12,0,0,0,0,0,6,very_short
7533687190707047701,top,1,0,0.0,0,,,15,3,1,0,0,0,0,15,short
7533694357220707605,top,1,0,0.0,0,,,2,1,0,0,0,0,0,15,short
7535131930182815031,normal,0,0,0.0,0,,,72,14,0,1,0,0,0,21,mid
7535597272009116958,normal,0,0,0.0,0,,,72,14,0,0,0,0,0,55,long
7535822781108194582,top,1,0,0.0,0,,,44,4,0,0,1,0,0,25,mid
7537411459005828407,normal,0,0,0.0,0,,,23,6,0,0,0,0,0,16,mid
7538142607772257550,normal,0,0,0.0,0,,,30,6,0,0,0,0,0,14,short
7538167343642397973,top,1,0,0.0,0,,,18,3,0,0,0,0,0,6,very_short
7538175287809379604,top,1,0,0.0,0,,,15,2,0,0,0,0,0,7,short
7538179148267703572,top,1,0,0.0,0,,,20,5,0,0,0,0,0,14,short
7538184429018041621,top,1,0,0.0,0,,,72,13,0,0,0,0,0,14,short
7538431890357865750,top,1,0,0.0,0,,,35,4,0,0,1,0,0,46,long
7538577100836539703,normal,0,0,0.0,0,,,33,3,0,0,1,0,0,6,very_short
7538643019420142903,normal,0,0,0.0,0,,,41,7,0,0,1,1,0,13,short
7539684741776248119,top,1,0,0.0,0,,,37,7,0,0,0,0,0,6,very_short
7540363753703869751,normal,0,0,0.0,0,,,46,11,0,0,0,1,0,58,long
7540683047117540663,normal,0,0,0.0,0,,,45,7,0,0,0,0,0,64,very_long
7541312762547408183,top,1,0,0.0,0,,,71,9,0,0,1,0,0,20,mid
7541415269642652941,top,1,0,0.0,0,,,18,3,0,0,0,0,0,26,mid
7541499742363110663,top,1,0,0.0,0,,,68,9,0,0,1,1,0,61,very_long
7541623233842269470,normal,0,0,0.0,0,,,72,12,0,0,1,0,0,35,long
7542236120256482574,top,1,0,0.0,0,,,64,11,0,0,0,0,0,23,mid
7542648831586880823,top,1,0,0.0,0,,,30,8,0,0,0,0,0,106,very_long
7543753322679864589,top,1,0,0.0,0,,,72,13,0,0,0,1,0,164,very_long
7544374389890927886,normal,0,0,0.0,0,,,72,14,0,0,0,0,0,69,very_long
7544520710744558903,top,1,0,0.0,0,,,14,4,0,0,0,0,0,10,short
7545647280955690253,top,1,0,0.0,0,,,30,5,0,0,0,1,0,13,short
7545914679911107854,normal,0,0,0.0,0,,,33,7,0,0,0,1,0,49,long
7546069423900200247,top,1,0,0.0,0,,,28,5,0,1,0,1,0,24,mid
7546245126356503821,normal,0,0,0.0,0,,,63,7,0,0,1,1,0,60,long
7546373233260449038,normal,0,0,0.0,0,,,72,12,0,0,0,0,0,32,long
7546649356707876109,top,1,0,0.0,0,,,20,4,0,0,0,0,0,10,short
7546779048593181965,normal,0,0,0.0,0,,,12,2,0,0,0,0,0,10,short
7546980162093534478,top,1,0,0.0,0,,,50,7,0,0,1,0,0,21,mid
7547911100520467725,top,1,0,0.0,0,,,35,7,0,0,0,1,0,95,very_long
7548194770137500941,top,1,0,0.0,0,,,72,11,0,1,0,1,0,188,very_long
7548522029700353293,normal,0,0,0.0,0,,,37,8,0,0,0,0,0,48,long
7548598130665622804,top,1,0,0.0,0,,,72,11,0,0,0,1,0,25,mid
7548837577323711758,normal,0,0,0.0,0,,,72,11,0,0,0,0,0,149,very_long
7549938079100931341,normal,0,0,0.0,0,,,9,2,0,0,0,0,0,46,long
7550956666187975991,top,1,0,0.0,0,,,42,9,0,0,1,1,0,18,mid
7551538774350515511,top,1,0,0.0,0,,,64,12,0,0,0,1,0,15,short
7551785289518288183,normal,0,0,0.0,0,,,31,8,0,0,0,0,0,26,mid
