video_id,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie
top_66_likes_606500_id_7551538774350515511,0.0,8.049347,16,16.0,1,0,6.6,2.0,neutral,1,0.0,Vlog
top_70_likes_535000_id_7528058390535310605,0.0,1.0135695,29,29.0,1,0,1.0,1.2,happy,0,0.0,Vlog
top_49_likes_756800_id_7513647103558585643,0.0625,8.866551,16,16.0,1,0,9.6,4.4,neutral,1,0.0,Vlog
top_97_likes_341000_id_7532465100771413270,0.0625,3.5589588,32,32.0,1,0,1.6,1.0,sad,1,0.0,Fashion
normal_68_likes_49600_id_7553693101458541837,0.625,1.9630107,32,32.0,1,0,1.6,1.6,neutral,1,0.9927,Tier
top_73_likes_489400_id_7497125916095860014,0.0,5.315803,52,52.0,1,0,2.8,2.8,neutral,1,0.0,Vlog
normal_86_likes_7795_id_7558891371189325087,0.0219780219780219,6.699806,91,91.0,1,0,3.6,3.8,happy,1,0.9724,Vlog
top_72_likes_501900_id_7456887093139164458,0.0625,4.626656,16,16.0,1,0,1.0,1.0,surprise,0,0.0,Vlog
normal_43_likes_17700_id_7562334301166013718,0.7,10.470601,30,30.0,1,0,6.0,2.8,happy,1,0.0,Gaming
normal_55_likes_111100_id_7418609202073046302,0.36,9.99598,25,25.0,1,0,2.2,1.2,neutral,0,0.0,Fashion
normal_5_likes_43000_id_7506913208318496046,0.0,2.2771485,49,49.0,1,0,4.2,2.0,neutral,1,0.0,Vlog
top_25_likes_1400000_id_7491859948490607918,0.3088235294117647,4.5627675,68,68.0,0,0,0.6,1.0,sad,1,0.0,Fashion
normal_95_likes_12700_id_7541623233842269470,0.1081081081081081,4.9956045,37,37.0,1,0,2.6,1.0,sad,1,-0.6408,Gaming
top_16_likes_1700000_id_7481463647085088043,0.0,2.9872634,16,16.0,1,0,1.4,1.2,neutral,1,0.296,Vlog
top_46_likes_767900_id_7553465778972937479,0.0,7.64215,11,11.0,1,0,1.4,1.0,neutral,0,0.0,Vlog
normal_26_likes_85000_id_7437523439310654750,0.75,11.450206,48,48.0,1,0,2.6,1.2,sad,1,0.0,Vlog
top_82_likes_430400_id_7552180816277769486,0.048780487804878,7.344345,41,41.0,1,0,2.4,1.2,fear,1,0.8126,Unboxing
