video_id,group,is_viral_proxy,txt_title_has_mention,txt_title_has_question,txt_title_has_hashtag
7219026508239686954,top,1,0,0,0
7231352152743152942,top,1,0,0,0
7236485370542624042,normal,0,0,0,1
7239370205254929710,normal,0,1,1,1
7303636279936322862,normal,0,0,1,0
7396801365420461358,normal,0,0,0,0
7397877687269772574,normal,0,1,0,0
7400546786047298846,top,1,0,0,1
7413886018639744286,normal,0,1,0,0
7416040047637433630,normal,0,1,0,0
7417155830354677022,normal,0,1,0,1
7418187878360026399,normal,0,0,0,0
7418609202073046302,normal,0,1,0,0
7433507168529304862,normal,0,1,0,0
7437523439310654750,normal,0,1,0,1
7439471913715485998,normal,0,0,0,1
7456887093139164458,top,1,0,0,0
7461297586738154798,top,1,0,0,0
7461341656470637867,top,1,0,0,0
7461348964126706987,top,1,0,0,1
7461455484957216046,top,1,0,0,0
7463295674528828718,normal,0,1,0,1
7477048558412139806,top,1,1,0,0
7481081623962733867,top,1,0,0,0
7481463647085088043,top,1,0,0,0
7481987417357012267,normal,0,0,0,0
7483001771346922794,normal,0,0,0,1
7483004941213322542,normal,0,0,0,1
7483228758514896174,normal,0,0,0,0
7486292240898411822,normal,0,1,0,0
7491043786580135214,top,1,1,0,1
7491859948490607918,top,1,1,0,1
7493024973506792746,top,1,0,0,0
7493294519652224302,normal,0,1,0,1
7493347618081475886,normal,0,0,0,1
7494637665753713942,top,1,0,0,1
7497125916095860014,top,1,0,0,0
7498051752504151339,top,1,0,0,0
7498461301472070954,top,1,0,0,0
7500017699733425438,top,1,0,0,1
7501786655280336150,top,1,0,0,1
7503547470006226198,top,1,0,0,1
7505030969712217366,top,1,0,0,1
7506715561590803758,normal,0,0,0,0
7506899936903007531,normal,0,0,1,1
7506913208318496046,normal,0,0,0,1
7511706784608898326,top,1,0,0,1
7513261762968341806,normal,0,0,0,0
7513391798920989998,top,1,0,0,0
7513647103558585643,top,1,0,1,0
7513980049121611054,normal,0,1,0,0
7515067489852673323,top,1,0,0,0
7515083249782181163,top,1,1,0,0
7516905495962209558,top,1,0,0,0
7516938565066951991,normal,0,0,0,0
7516941123676294430,normal,0,0,0,0
7517661384499301687,normal,0,0,0,0
7518015832954326294,top,1,0,0,0
7518459843343060238,normal,0,0,0,0
7520613613476826390,top,1,0,0,1
7521737810315939085,top,1,0,0,0
7522839955991956759,top,1,0,0,1
7523247946826075422,normal,0,0,0,0
7524003882544926007,normal,0,1,0,0
7524695285293993238,top,1,0,0,1
7525148037694393614,normal,0,0,0,0
7525596263971114270,normal,0,1,0,0
7526832928811207991,normal,0,0,0,0
7527278440291126550,top,1,0,0,1
7527804631657794846,normal,0,0,0,0
7528058390535310605,top,1,0,0,0
7528464534936358199,normal,0,0,0,0
7528483160141597982,top,1,0,0,0
7530273378234649878,top,1,0,0,1
7530978492717190455,top,1,0,0,0
7531096947776671006,top,1,0,0,0
7532257687514451213,normal,0,0,0,0
7532465100771413270,top,1,0,0,1
7532593973144210743,top,1,0,0,0
7533276670954884407,normal,0,0,0,0
7533277722089442590,normal,0,0,0,0
7533687190707047701,top,1,0,1,0
7533694357220707605,top,1,0,0,0
7535131930182815031,normal,0,0,0,0
7535597272009116958,normal,0,0,0,0
7535822781108194582,top,1,0,0,1
7537411459005828407,normal,0,0,0,0
7538142607772257550,normal,0,0,0,0
7538167343642397973,top,1,0,0,0
7538175287809379604,top,1,0,0,0
7538179148267703572,top,1,0,0,0
7538184429018041621,top,1,0,0,0
7538431890357865750,top,1,0,0,1
7538577100836539703,normal,0,0,0,1
7538643019420142903,normal,0,1,0,1
7539684741776248119,top,1,0,0,0
7540363753703869751,normal,0,1,0,0
7540683047117540663,normal,0,0,0,0
7541312762547408183,top,1,0,0,1
7541415269642652941,top,1,0,0,0
