group,is_viral_proxy,txt_title_has_mention,txt_title_has_question,txt_title_has_hashtag,bpm,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,speech_ratio,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11,schnitt_frequenz,durchschnittliche_bewegung,anzahl_frames,video_dauer_sek,ist_person_prominent,ist_tier_sichtbar,avg_objekte_pro_frame,avg_gesichter_pro_frame,dominante_emotion,ist_text_eingeblendet,text_sentiment_compound,video_kategorie,is_viral
top,1,0,0,0,78.30255681818181,0.0189571511000394,0.0059041758067905,929.5286677665894,1097.230358287813,2028.2906274873617,645.1504484860964,0.98989898989899,0.0961678831793887,0.0955278989776004,0.0831980964912846,0.0610755445681648,0.055511470045511,0.0747693606791192,0.0653752254821612,0.0923211843032737,0.0716692196708674,0.0898729519582657,0.0628775883842385,0.0730410669591061,0.0,0.8855951,9,9.0,1,0,1.0,1.0,neutral,1,0.0,Prank,1
top,1,0,0,0,139.6748310810811,0.0444843731820583,0.0534351095557212,2763.921835784135,1675.8724733201525,3052.05326177712,953.6778074628309,0.8305439330543933,0.1128501688265553,0.0954050529681454,0.0961339540579398,0.1004598463995302,0.0898516316033633,0.1112739573563327,0.0980713794454129,0.0944092539303003,0.0958520543630841,0.1071256454783342,0.1101964027274567,0.1191727396759991,0.0,3.9068198,29,29.0,1,0,2.0,1.6,happy,1,-0.4767,Fitness,1
normal,0,0,0,1,132.51201923076923,0.2498903721570968,0.1223231926560401,1703.2036265694207,858.8166162691065,2122.523466144126,767.1663854921038,1.0,0.0953099092997355,0.0791755328514762,0.1025283698528564,0.0693373653983449,0.107665777048816,0.0816793891752448,0.0749641014986747,0.1106895022829578,0.0586284529284309,0.132041687022865,0.050121793022754,0.1187622299939225,0.35,6.0644374,20,20.0,1,0,4.4,2.2,sad,1,0.0,Unboxing,0
normal,0,1,1,1,129.19921875,0.0330993980169296,0.0408234931528568,1648.4156378092316,919.3715011207572,1962.8442443497408,646.9610172866676,0.8085603112840467,0.1153891797542516,0.0936861053472232,0.0765681006955375,0.0754629341722924,0.0752836184373586,0.0805939422973701,0.0697683569874293,0.0732038410327614,0.074198009711218,0.0917362149245471,0.1086212302616385,0.111694812876907,0.0,4.0501037,39,39.0,1,0,4.0,2.0,neutral,1,0.0,Unboxing,0
normal,0,0,1,0,126.04801829268293,0.035605039447546,0.0341021604835987,4042.010994856956,1647.227840944833,3651.691019482056,765.2646724207665,0.9334312285854136,0.0914464768250415,0.0834255967571239,0.0802166928180032,0.080366259495912,0.0768360405449165,0.0798227377363954,0.07973513733788,0.0801848073083459,0.0876805610302767,0.0842710803025133,0.0974882313902923,0.0935972223020471,0.0161290322580645,3.61183,62,62.0,1,0,3.4,2.0,happy,1,0.0,Unboxing,0
normal,0,0,0,0,60.09265988372093,0.161602571606636,0.0730946063995361,2175.025483683563,1387.3109960072316,3022.498165747058,743.5413949309598,0.994,0.0976488825421865,0.0729931553898363,0.0902080247060641,0.0908085915075221,0.1182396255814125,0.1195481628794414,0.0868484038497354,0.0998915173043906,0.0818698378952843,0.0996432951894384,0.0730761411267952,0.0681940981823963,0.0625,8.258968,16,16.0,0,1,1.2,1.0,sad,1,0.0,Reise,0
normal,0,1,0,0,178.20581896551724,0.0586722530424594,0.0352427586913108,1395.5550827451611,906.4722191442992,1804.646235974679,774.1717076058121,0.9464816650148662,0.0740340153227467,0.0500934327826902,0.1387627511461881,0.0897299129664916,0.0802372360612384,0.1262954458667326,0.0418245933603363,0.1255410604791874,0.0375003465378584,0.1170809115642694,0.1058667891082628,0.0528265263396518,0.5483870967741935,6.935348,31,31.0,1,0,4.0,4.2,neutral,1,0.5766,Fashion,0
top,1,0,0,1,184.5703125,0.0502106547355651,0.0378699265420436,2818.68405185539,1356.5493272560504,3299.8546843953072,720.7879804558227,0.9936908517350158,0.0933438956121049,0.0740066867284257,0.1090415134595271,0.0711799625485805,0.0714643948446959,0.0517565474928363,0.0676310636163139,0.0923808504988664,0.0528670423795312,0.1149726810407626,0.0619177817086829,0.0873001651296381,0.0,8.037006,10,10.0,1,0,2.0,1.8,happy,1,0.0,Beauty,1
normal,0,1,0,0,89.10290948275862,0.1180925220251083,0.0395137295126915,1121.9612067474152,308.2303950455079,1597.751964215765,356.82919181625454,0.9935691318327974,0.0941516777600511,0.1024141973884478,0.0369641089943211,0.0925599286289089,0.1214031169190763,0.0316859198646105,0.1053689296121991,0.0210418282432577,0.1030326250410888,0.0617276446107286,0.0940478156340579,0.1438816562376112,0.1578947368421052,10.278626,19,19.0,1,0,2.0,1.0,sad,1,0.0,Beauty,0
normal,0,1,0,0,54.978390957446805,0.022889420390129,0.0126572772860527,2613.9124831953413,1383.916831928795,3458.7470119429463,968.0664833484924,0.7134670487106017,0.0700997378790104,0.0749232038801632,0.0867504017771177,0.0842160773675725,0.0622838740303117,0.0848902526745327,0.0755823044834807,0.0553728362916611,0.0551774682803057,0.0524755596466995,0.0768445758034778,0.0578088973088603,0.5454545454545454,7.3405724,11,11.0,1,0,1.2,1.0,neutral,1,0.3612,Unboxing,0
