video_id,bpm,rms_mean,rms_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,speech_ratio,chroma_var_0,chroma_var_1,chroma_var_2,chroma_var_3,chroma_var_4,chroma_var_5,chroma_var_6,chroma_var_7,chroma_var_8,chroma_var_9,chroma_var_10,chroma_var_11
normal_100_likes_22500_id_7516938565066951991,139.6748310810811,0.014903383329510689,0.019587917253375053,2816.7684094213896,1743.7594600130615,3153.345758352995,840.9773660854332,0.9084027252081757,0.10563018187857232,0.10537977611800636,0.10629816596653353,0.09125785756628746,0.08987656773927931,0.07427966766302534,0.07815676622584314,0.08945521489875362,0.09458082538617228,0.08849165293089693,0.10548627982115245,0.12265238177096101
normal_10_likes_83700_id_7546779048593181965,67.99958881578948,0.025422675535082817,0.015673819929361343,4474.662061070602,1908.7886743477923,4091.647865310017,722.18996561812,0.9943502824858758,0.10457107174375299,0.10362774698962299,0.09962972417808037,0.11715156678881275,0.13505317115272814,0.12385319131640332,0.10665056729901662,0.10758424473608105,0.09465639309510365,0.09452910479919446,0.08884769512881119,0.08964747668223966
normal_11_likes_30500_id_7559969376590515470,107.666015625,0.12681396305561066,0.05711471661925316,3212.963612131724,1091.773264058584,3643.00411600551,753.3194220279323,0.9957173447537473,0.07436295261065523,0.07463147911009015,0.07780822940498448,0.08184645407023278,0.08362063426098403,0.08185777446449884,0.07715421379643775,0.07856140987407496,0.07814503627542854,0.0801909391575921,0.07656333770303898,0.07955404552832322
normal_12_likes_51000_id_7557068031394991415,135.99917763157896,0.044645484536886215,0.05230177938938141,3050.954201236598,1684.081677500971,3179.355446315091,979.7272177359499,0.9557522123893806,0.106044064758074,0.09820784083202141,0.10027929932237284,0.11264034170531498,0.10497443261303312,0.10582313156574595,0.09600118741919798,0.092091274829738,0.10306343123289301,0.11433938709378312,0.10020380152723601,0.10415828984392166
normal_13_likes_14100_id_7564088602234309918,126.04801829268293,0.17427614331245422,0.11586295813322067,3562.231200976287,1881.4365121168742,3370.2793743806933,736.7128429873637,0.9895968790637191,0.11617616370553413,0.11128056117917383,0.08931032475556201,0.06920570985331088,0.05954990925116836,0.0872367059814321,0.08483648090325725,0.07957408487407057,0.07269886353552556,0.07203807808577196,0.07681534361243932,0.09099954085560677
normal_14_likes_78900_id_7439471913715485998,147.65625,0.04585643485188484,0.044010866433382034,1975.0777566015397,1202.795288835236,2279.804243059668,821.2534735006982,0.9390503189227498,0.10379458772761471,0.09215226077932039,0.0903815683084813,0.09408531239089722,0.07995864220756997,0.09366495348987514,0.08900611312073957,0.0861148711211154,0.07893072599946531,0.09556072592906124,0.08721332712481818,0.08957561784485697
normal_15_likes_61700_id_7558916935388335374,129.19921875,0.1522010713815689,0.06663261353969574,2624.9745613181785,1559.0381360364954,3358.6964771480093,1092.2766505203135,0.9911373707533235,0.10492529472887846,0.11022123617352488,0.08079086801143283,0.09968677103675103,0.08562548026609305,0.09018022136615339,0.09174235692980864,0.059376732607221955,0.0874047761429084,0.06049037952161083,0.07963457433499793,0.08727740728422062
normal_16_likes_16300_id_7556493693121744142,129.19921875,0.13249003887176514,0.06579533219337463,2804.3957594515796,1152.733275395801,3547.7428453621433,739.9693718508655,0.994,0.10515998278334013,0.11732578617641211,0.08302925843385948,0.09202077187530339,0.0730078505990539,0.08346839064840293,0.10552641726227513,0.05762987251602994,0.1124174248045633,0.06186314415131201,0.0893886598905331,0.08619489425627772
normal_17_likes_91400_id_7538643019420142903,161.4990234375,0.07967891544103622,0.03902462497353554,1990.6410299448796,1118.1311108120515,2117.9241478571203,690.8093196377945,0.9676025917926566,0.10398548534681859,0.08148239070501108,0.08311885676113549,0.07873081535274094,0.1451542913180829,0.08248866976586981,0.07074658264532466,0.13526457673732692,0.06523146057296653,0.1564117718505907,0.09336061954426517,0.11435254917167426
normal_18_likes_26500_id_7413886018639744286,89.10290948275862,0.11809252202510834,0.0395137295126915,1121.9612067474152,308.2303950455079,1597.751964215765,356.82919181625454,0.9935691318327974,0.09415167776005111,0.1024141973884478,0.03696410899432115,0.09255992862890891,0.1214031169190763,0.03168591986461054,0.10536892961219914,0.021041828243257774,0.10303262504108886,0.061727644610728626,0.0940478156340579,0.14388165623761123
